inlet stagnation_NOUN,1147,247,4.643724696,1950,2009,60
inlet stagnation,1153,249,4.630522088,1950,2009,60
intertrial _NOUN_,12574,3041,4.134824071,1950,2009,60
intertrial_ADJ _NOUN_,12573,3041,4.134495232,1950,2009,60
ICFTU_NOUN .,2626,815,3.22208589,1950,2009,60
ICFTU_NOUN ._.,2626,815,3.22208589,1950,2009,60
ICFTU_ADJ _CONJ_,2224,694,3.204610951,1950,2009,60
ICFTU _CONJ_,2366,739,3.201623816,1950,2009,60
ICFTU .,2780,893,3.113101904,1950,2009,60
ICFTU ._.,2780,893,3.113101904,1950,2009,60
Israel Labor,2968,962,3.085239085,1950,2009,60
Israel Labor_NOUN,2968,962,3.085239085,1950,2009,60
Israel_NOUN Labor,2968,962,3.085239085,1950,2009,60
Israel_NOUN Labor_NOUN,2968,962,3.085239085,1950,2009,60
ICFTU_ADJ and,2032,664,3.060240964,1950,2009,60
ICFTU_ADJ and_CONJ,2032,664,3.060240964,1950,2009,60
ICFTU and,2160,706,3.059490085,1950,2009,60
ICFTU and_CONJ,2160,706,3.059490085,1950,2009,60
injected carriers,4436,1544,2.873056995,1950,2009,60
injected carriers_NOUN,4436,1544,2.873056995,1950,2009,60
injected carrier_NOUN,2419,853,2.835873388,1950,2009,60
injected carrier,2430,862,2.819025522,1950,2009,60
injected_ADJ carriers,4234,1505,2.813289037,1950,2009,60
injected_ADJ carriers_NOUN,4234,1505,2.813289037,1950,2009,60
injected_ADJ carrier_NOUN,2338,833,2.806722689,1950,2009,60
injected_ADJ carrier,2345,838,2.798329356,1950,2009,60
indirect Coombs,4856,2038,2.382728165,1950,2009,60
indirect_ADJ Coombs,4856,2038,2.382728165,1950,2009,60
in permafrost_NOUN,4115,1890,2.177248677,1950,2009,60
in_ADP permafrost_NOUN,4115,1890,2.177248677,1950,2009,60
Israel Communist,775,363,2.134986226,1950,2009,60
Israel_NOUN Communist,775,363,2.134986226,1950,2009,60
indirect Coombs_ADJ,1692,794,2.130982368,1950,2009,60
indirect_ADJ Coombs_ADJ,1692,794,2.130982368,1950,2009,60
idiolect _._,7472,3841,1.945326738,1950,2009,60
ICFTU ,4442,2313,1.920449633,1950,2009,60
ICFTU _.,4442,2313,1.920449633,1950,2009,60
idiolect_NOUN _._,7036,3694,1.904710341,1950,2009,60
inverting amplifiers_NOUN,1342,705,1.903546099,1950,2009,60
inverting amplifiers,1347,708,1.902542373,1950,2009,60
ICFTU_X ,4234,2253,1.879272082,1950,2009,60
ICFTU_X _.,4234,2253,1.879272082,1950,2009,60
ICFTU_X _._,4242,2258,1.878653676,1950,2009,60
Indonesian music_NOUN,1449,800,1.81125,1950,2009,60
Indonesian_ADJ music_NOUN,1449,800,1.81125,1950,2009,60
Indonesian music,1464,813,1.800738007,1950,2009,60
Indonesian_ADJ music,1464,813,1.800738007,1950,2009,60
in triglyceride,5129,2850,1.799649123,1950,2009,60
in_ADP triglyceride,5127,2849,1.7995788,1950,2009,60
interpersonal approach,4155,2466,1.684914842,1950,2009,60
